sample,previous_event,event_id,total
33435,56,120,-20783
54218,56,120,-2519
56737,56,120,-2519
59256,56,120,-2519
61775,56,120,-2520
64295,56,120,-2519
66814,56,120,-2519
69333,56,120,-2519
71852,56,120,-2520
74372,56,120,-2519
76891,56,120,-2519
79410,56,120,-2519
81929,56,120,-2520
84449,56,120,-2519
86968,56,120,-2519
89487,56,120,-2519
92006,56,120,-2520
94526,56,120,-2519
97045,56,120,-2519
99564,56,120,-2519
102083,56,120,-2520
104603,56,120,-2519
107122,56,120,-2519
109641,56,120,-2519
112160,56,120,-2520
114680,56,120,-2519
117199,56,120,-2519
119718,56,120,-2519
122237,56,120,-2520
124757,56,120,-2519
127276,56,120,-2519
129795,56,120,-2519
132314,56,120,-2520
134834,56,120,-2519
137353,56,120,-2519
139872,56,120,-2519
142391,56,120,-2520
144911,56,120,-2519
147430,56,120,-2519
149949,56,120,-2519
152468,56,120,-2520
154988,56,120,-2519
157507,56,120,-2519
160026,56,120,-2519
162545,56,120,-2520
165065,56,120,-2519
167584,56,120,-2519
170103,56,120,-2520
172623,56,120,-2519
175142,56,120,-2519
177661,56,120,-2519
180180,56,120,-2520
182700,56,120,-2519
185219,56,120,-2519
187738,56,120,-2519
190257,56,120,-2520
192777,56,120,-2519
195296,56,120,-2519
197815,56,120,-2519
200334,56,120,-2520
202854,56,120,-2519
205373,56,120,-2519
207892,56,120,-2520
210412,56,120,-2519
212931,56,120,-2519
215450,56,120,-2519
217969,56,120,-2519
220488,56,120,-2520
223008,56,120,-2519
225527,56,120,-2519
228046,56,120,-2520
230566,56,120,-2519
233085,56,120,-2519
235604,56,120,-2519
238123,56,120,-2520
240643,56,120,-2519
243162,56,120,-2519
245681,56,120,-2519
248200,56,120,-2520
250720,56,120,-2519
253239,56,120,253239
